Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total),Total Engagement
2025-01-28,1234,0,1234,573,59,0,59,42,0,42,2,0,2,1,0,1,0.0842787682333874,0,0.0842787682333874,104
2025-01-29,1169,0,1169,572,102,0,102,33,0,33,1,0,1,1,0,1,0.117194183062447,0,0.117194183062447,137
2025-01-30,872,0,872,271,31,0,31,32,0,32,1,0,1,3,0,3,0.0768348623853211,0,0.0768348623853211,67
2025-01-31,734,0,734,239,33,0,33,23,0,23,3,0,3,0,0,0,0.0803814713896458,0,0.0803814713896458,59
2025-02-01,381,0,381,208,8,0,8,10,0,10,0,0,0,0,0,0,0.047244094488189,0,0.047244094488189,18
2025-02-02,240,0,240,84,43,0,43,4,0,4,0,0,0,0,0,0,0.195833333333333,0,0.195833333333333,47
2025-02-03,251,0,251,78,12,0,12,1,0,1,0,0,0,0,0,0,0.051792828685259,0,0.051792828685259,13
2025-02-04,125,0,125,60,3,0,3,3,0,3,0,0,0,0,0,0,0.048,0,0.048,6
2025-02-05,167,0,167,62,20,0,20,2,0,2,0,0,0,0,0,0,0.131736526946108,0,0.131736526946108,22
2025-02-06,152,0,152,65,10,0,10,0,0,0,0,0,0,0,0,0,0.0657894736842105,0,0.0657894736842105,10
2025-02-07,131,0,131,63,6,0,6,2,0,2,0,0,0,0,0,0,0.0610687022900763,0,0.0610687022900763,8
2025-02-08,107,0,107,55,7,0,7,1,0,1,0,0,0,0,0,0,0.0747663551401869,0,0.0747663551401869,8
2025-02-09,144,0,144,54,6,0,6,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.0416666666666667,6
2025-02-10,330,0,330,189,13,0,13,17,0,17,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909,30
2025-02-11,506,0,506,238,29,0,29,20,0,20,2,0,2,1,0,1,0.102766798418972,0,0.102766798418972,52
2025-02-12,339,0,339,173,12,0,12,8,0,8,0,0,0,0,0,0,0.0589970501474926,0,0.0589970501474926,20
2025-02-13,464,0,464,242,31,0,31,15,0,15,0,0,0,0,0,0,0.0991379310344828,0,0.0991379310344828,46
2025-02-14,506,0,506,279,22,0,22,13,0,13,0,0,0,0,0,0,0.0691699604743083,0,0.0691699604743083,35
2025-02-15,295,0,295,159,24,0,24,11,0,11,2,0,2,0,0,0,0.125423728813559,0,0.125423728813559,37
2025-02-16,318,0,318,150,25,0,25,8,0,8,1,0,1,0,0,0,0.106918238993711,0,0.106918238993711,34
2025-02-17,662,0,662,294,50,0,50,27,0,27,5,0,5,3,0,3,0.128398791540786,0,0.128398791540786,85
2025-02-18,1084,0,1084,493,44,0,44,29,0,29,3,0,3,2,0,2,0.0719557195571956,0,0.0719557195571956,78
2025-02-19,456,0,456,201,24,0,24,9,0,9,1,0,1,0,0,0,0.0745614035087719,0,0.0745614035087719,34
2025-02-20,439,0,439,255,31,0,31,17,0,17,4,0,4,1,0,1,0.120728929384966,0,0.120728929384966,53
2025-02-21,2205,0,2205,1118,169,0,169,30,0,30,6,0,6,0,0,0,0.0929705215419501,0,0.0929705215419501,205
2025-02-22,969,0,969,528,92,0,92,6,0,6,1,0,1,0,0,0,0.102167182662539,0,0.102167182662539,99
2025-02-23,348,0,348,174,22,0,22,2,0,2,1,0,1,0,0,0,0.0718390804597701,0,0.0718390804597701,25
2025-02-24,234,0,234,131,11,0,11,6,0,6,0,0,0,0,0,0,0.0726495726495727,0,0.0726495726495727,17
2025-02-25,191,0,191,81,16,0,16,9,0,9,0,0,0,0,0,0,0.130890052356021,0,0.130890052356021,25
2025-02-26,306,0,306,105,20,0,20,0,0,0,0,0,0,0,0,0,0.065359477124183,0,0.065359477124183,20
2025-02-27,222,0,222,105,9,0,9,7,0,7,0,0,0,3,0,3,0.0855855855855856,0,0.0855855855855856,19
2025-02-28,95,0,95,56,3,0,3,0,0,0,0,0,0,0,0,0,0.0315789473684211,0,0.0315789473684211,3
2025-03-01,346,0,346,76,14,0,14,4,0,4,0,0,0,0,0,0,0.0520231213872832,0,0.0520231213872832,18
