Date,Sponsored followers,Organic followers,Auto-invited followers,Total followers,Cumulative Followers,Followers 7d Avg
2025-02-08,0,4,0,4,4,4.0
2025-02-09,0,4,0,4,8,4.0
2025-02-10,0,5,0,5,13,4.33
2025-02-11,0,6,0,6,19,4.75
2025-02-12,0,9,0,9,28,5.6
2025-02-13,0,6,0,6,34,5.67
2025-02-14,0,5,0,5,39,5.57
2025-02-15,0,5,0,5,44,5.71
2025-02-16,0,5,0,5,49,5.86
2025-02-17,0,16,0,16,65,7.43
2025-02-18,0,12,0,12,77,8.29
2025-02-19,0,12,0,12,89,8.71
2025-02-20,0,8,0,8,97,9.0
2025-02-21,0,32,0,32,129,12.86
2025-02-22,0,9,0,9,138,13.43
2025-02-23,0,4,0,4,142,13.29
2025-02-24,0,6,0,6,148,11.86
2025-02-25,0,1,0,1,149,10.29
2025-02-26,0,5,0,5,154,9.29
2025-02-27,0,2,0,2,156,8.43
2025-02-28,0,1,0,1,157,4.0
2025-03-01,0,4,0,4,161,3.29
2025-03-02,0,4,0,4,165,3.29
2025-03-03,0,4,0,4,169,3.0
2025-03-04,0,3,0,3,172,3.29
2025-03-05,0,4,0,4,176,3.14
2025-03-06,0,4,0,4,180,3.43
2025-03-07,0,9,0,9,189,4.57
2025-03-08,0,8,0,8,197,5.14
2025-03-09,0,5,0,5,202,5.29
2025-03-10,0,2,0,2,204,5.0
2025-03-11,0,1,0,1,205,4.71
2025-03-12,0,5,0,5,210,4.86
2025-03-13,0,4,0,4,214,4.86
2025-03-14,0,1,0,1,215,3.71
2025-03-15,0,1,0,1,216,2.71
2025-03-16,0,1,0,1,217,2.14
2025-03-17,0,18,0,18,235,4.43
2025-03-18,0,18,0,18,253,6.86
2025-03-19,0,26,0,26,279,9.86
2025-03-20,0,7,0,7,286,10.29
2025-03-21,0,4,0,4,290,10.71
2025-03-22,0,6,0,6,296,11.43
2025-03-23,0,6,0,6,302,12.14
2025-03-24,0,11,0,11,313,11.14
2025-03-25,0,7,0,7,320,9.57
2025-03-26,0,10,0,10,330,7.29
2025-03-27,0,16,0,16,346,8.57
2025-03-28,0,9,0,9,355,9.29
2025-03-29,0,1,0,1,356,8.57
2025-03-30,0,-1,0,-1,355,7.57
2025-03-31,0,8,0,8,363,7.14
2025-04-01,0,3,0,3,366,6.57
2025-04-02,0,2,0,2,368,5.43
2025-04-03,0,9,0,9,377,4.43
2025-04-04,0,4,0,4,381,3.71
2025-04-05,0,7,0,7,388,4.57
2025-04-06,0,3,0,3,391,5.14
2025-04-07,0,3,0,3,394,4.43
2025-04-08,0,8,0,8,402,5.14
2025-04-09,0,17,0,17,419,7.29
2025-04-10,0,7,0,7,426,7.0
2025-04-11,0,8,0,8,434,7.57
2025-04-12,0,6,0,6,440,7.43
2025-04-13,0,2,0,2,442,7.29
2025-04-14,0,11,0,11,453,8.43
2025-04-15,0,6,0,6,459,8.14
2025-04-16,0,19,0,19,478,8.43
2025-04-17,0,40,0,40,518,13.14
2025-04-18,0,19,0,19,537,14.71
2025-04-19,0,13,0,13,550,15.71
2025-04-20,0,3,0,3,553,15.86
2025-04-21,0,11,0,11,564,15.86
2025-04-22,0,7,0,7,571,16.0
2025-04-23,0,8,0,8,579,14.43
2025-04-24,0,17,0,17,596,11.14
2025-04-25,0,17,0,17,613,10.86
2025-04-26,0,13,0,13,626,10.86
2025-04-27,0,10,0,10,636,11.86
2025-04-28,0,17,0,17,653,12.71
2025-04-29,0,20,0,20,673,14.57
2025-04-30,0,14,0,14,687,15.43
2025-05-01,0,12,0,12,699,14.71
2025-05-02,0,5,0,5,704,13.0
2025-05-03,0,7,0,7,711,12.14
2025-05-04,0,2,0,2,713,11.0
2025-05-05,0,9,0,9,722,9.86
2025-05-06,0,9,0,9,731,8.29
2025-05-07,0,7,0,7,738,7.29
2025-05-08,0,8,0,8,746,6.71
2025-05-09,0,6,0,6,752,6.86
2025-05-10,0,3,0,3,755,6.29
2025-05-11,0,6,0,6,761,6.86
2025-05-12,0,14,0,14,775,7.57
2025-05-13,0,9,0,9,784,7.57
2025-05-14,0,11,0,11,795,8.14
2025-05-15,0,15,0,15,810,9.14
2025-05-16,0,11,0,11,821,9.86
2025-05-17,0,4,0,4,825,10.0
2025-05-18,0,2,0,2,827,9.43
2025-05-19,0,10,0,10,837,8.86
2025-05-20,0,7,0,7,844,8.57
2025-05-21,0,12,0,12,856,8.71
2025-05-22,0,12,0,12,868,8.29
2025-05-23,0,6,0,6,874,7.57
2025-05-24,0,2,0,2,876,7.29
2025-05-25,0,2,0,2,878,7.29
2025-05-26,0,3,0,3,881,6.29
2025-05-27,0,10,0,10,891,6.71
2025-05-28,0,8,0,8,899,6.14
2025-05-29,0,7,0,7,906,5.43
2025-05-30,0,2,0,2,908,4.86
2025-05-31,0,6,0,6,914,5.43
